"zip","city","county","pop"
"18651","Plymouth","Luzerne","8693"
"15104","Braddock","Allegheny","8669"
"18088","Walnutport","Northampton","8649"
"17842","Middleburg","Snyder","8625"
"15024","Cheswick","Allegheny","8624"
"18330","Effort","Monroe","8452"
"15204","Pittsburgh","Allegheny","8443"
"17316","East Berlin","Adams","8408"
"19137","Philadelphia","Philadelphia","8347"
"17038","Jonestown","Lebanon","8334"
"15332","Finleyville","Washington","8327"
"15417","Brownsville","Fayette","8320"
"15042","Freedom","Beaver","8309"
"16059","Valencia","Butler","8242"
"17032","Halifax","Dauphin","8123"
"18801","Montrose","Susquehanna","8076"
"19533","Leesport","Berks","8059"
"16055","Sarver","Butler","7996"
"18069","Orefield","Lehigh","7973"
"18518","Old Forge","Lackawanna","7965"
"17059","Mifflintown","Juniata","7943"
"17236","Mercersburg","Franklin","7939"
"19560","Temple","Berks","7886"
"17554","Mountville","Lancaster","7877"
"15074","Rochester","Beaver","7874"
"15131","Mc Keesport","Allegheny","7866"
"16417","Girard","Erie","7861"
"17320","Fairfield","Adams","7861"
"15537","Everett","Bedford","7836"
"19343","Glenmoore","Chester","7810"
"18037","Coplay","Lehigh","7806"
"15683","Scottdale","Westmoreland","7638"
"19075","Oreland","Montgomery","7632"
"18078","Schnecksville","Lehigh","7621"
"18210","Albrightsville","Carbon","7614"
"17327","Glen Rock","York","7590"
"15085","Trafford","Westmoreland","7586"
"16438","Union City","Erie","7568"
"16226","Ford City","Armstrong","7567"
"17345","Manchester","York","7551"
"17555","Narvon","Lancaster","7547"
"17368","Wrightsville","York","7539"
"19506","Bernville","Berks","7466"
"18472","Waymart","Wayne","7466"
"17578","Stevens","Lancaster","7438"
"17102","Harrisburg","Dauphin","7434"
"19365","Parkesburg","Chester","7431"
"15126","Imperial","Allegheny","7411"
"17851","Mount Carmel","Northumberland","7405"
"18328","Dingmans Ferry","Pike","7377"
"17547","Marietta","Lancaster","7377"
"15062","Monessen","Westmoreland","7344"
"17921","Ashland","Schuylkill","7321"
"17857","Northumberland","Northumberland","7306"
"16870","Port Matilda","Centre","7298"
"17074","Newport","Perry","7296"
"18106","Allentown","Lehigh","7265"
"18644","Wyoming","Luzerne","7245"
"17777","Watsontown","Northumberland","7211"
"17061","Millersburg","Dauphin","7188"
"15021","Burgettstown","Washington","7186"
"17349","New Freedom","York","7183"
"17751","Mill Hall","Clinton","7169"
"17360","Seven Valleys","York","7150"
"19095","Wyncote","Montgomery","7070"
"16063","Zelienople","Butler","7005"
"16150","Sharpsville","Mercer","6960"
"17339","Lewisberry","York","6930"
"19070","Morton","Delaware","6924"
"19333","Devon","Chester","6911"
"15145","Turtle Creek","Allegheny","6864"
"18641","Pittston","Luzerne","6829"
"16403","Cambridge Springs","Crawford","6790"
"16401","Albion","Erie","6780"
"16142","New Wilmington","Lawrence","6771"
"17519","East Earl","Lancaster","6762"
"15851","Reynoldsville","Jefferson","6733"
"18621","Hunlock Creek","Luzerne","6728"
"18925","Furlong","Bucks","6692"
"17538","Landisville","Lancaster","6669"
"18403","Archbald","Lackawanna","6653"
"17976","Shenandoah","Schuylkill","6644"
"17347","Mount Wolf","York","6644"
"19032","Folcroft","Delaware","6627"
"17737","Hughesville","Lycoming","6604"
"17961","Orwigsburg","Schuylkill","6590"
"15223","Pittsburgh","Allegheny","6589"
"15748","Homer City","Indiana","6584"
"19076","Prospect Park","Delaware","6555"
"18072","Pen Argyl","Northampton","6550"
"15946","Portage","Cambria","6532"
"16933","Mansfield","Tioga","6518"
"19041","Haverford","Delaware","6494"
"15139","Oakmont","Allegheny","6480"
"15089","West Newton","Westmoreland","6453"
"18433","Jermyn","Lackawanna","6448"
"18066","New Tripoli","Lehigh","6404"
"19301","Paoli","Chester","6375"
"19012","Cheltenham","Montgomery","6328"
"15853","Ridgway","Elk","6318"
"17361","Shrewsbury","York","6315"
"18947","Pipersville","Bucks","6309"
"17314","Delta","York","6304"
"16841","Howard","Centre","6300"
"15627","Derry","Westmoreland","6282"
"16033","Evans City","Butler","6260"
"17579","Strasburg","Lancaster","6236"
"17007","Boiling Springs","Cumberland","6228"
"15133","Mc Keesport","Allegheny","6189"
"19543","Morgantown","Berks","6141"
"16915","Coudersport","Potter","6134"
"17527","Gap","Lancaster","6134"
"18224","Freeland","Luzerne","6134"
"18810","Athens","Bradford","5911"
"15552","Meyersdale","Somerset","5908"
"19074","Norwood","Delaware","5893"
"15478","Smithfield","Fayette","5892"
"16735","Kane","Mckean","5875"
"19025","Dresher","Montgomery","5861"
